title|context|question|answer|answer_start|answer_end
Phạm Văn Đồng|Phạm Văn Đồng (1 tháng 3 năm 1906 – 29 tháng 4 năm 2000) là Thủ tướng đầu tiên của nước Cộng hòa Xã hội chủ nghĩa Việt Nam từ năm 1976 (từ năm 1981 gọi là Chủ tịch Hội đồng Bộ trưởng) cho đến khi nghỉ hưu năm 1987. Trước đó ông từng giữ chức vụ Thủ tướng Chính phủ Việt Nam Dân chủ Cộng hòa từ năm 1955 đến năm 1976. Ông là vị Thủ tướng Việt Nam tại vị lâu nhất (1955–1987). Ông là học trò, cộng sự của Chủ tịch Hồ Chí Minh. Ông có tên gọi thân mật là Tô, đây từng là bí danh của ông. Ông còn có tên gọi là Lâm Bá Kiệt khi làm Phó chủ nhiệm cơ quan Biện sự xứ tại Quế Lâm (Chủ nhiệm là Hồ Học Lãm).|Tên gọi nào được Phạm Văn Đồng sử dụng khi làm Phó chủ nhiệm cơ quan Biện sự xứ tại Quế Lâm?|Ông còn có tên gọi là Lâm Bá Kiệt khi làm Phó chủ nhiệm cơ quan Biện sự xứ tại Quế Lâm (Chủ nhiệm là Hồ Học Lãm).|485|598
Phạm Văn Đồng|Phạm Văn Đồng (1 tháng 3 năm 1906 – 29 tháng 4 năm 2000) là Thủ tướng đầu tiên của nước Cộng hòa Xã hội chủ nghĩa Việt Nam từ năm 1976 (từ năm 1981 gọi là Chủ tịch Hội đồng Bộ trưởng) cho đến khi nghỉ hưu năm 1987. Trước đó ông từng giữ chức vụ Thủ tướng Chính phủ Việt Nam Dân chủ Cộng hòa từ năm 1955 đến năm 1976. Ông là vị Thủ tướng Việt Nam tại vị lâu nhất (1955–1987). Ông là học trò, cộng sự của Chủ tịch Hồ Chí Minh. Ông có tên gọi thân mật là Tô, đây từng là bí danh của ông. Ông còn có tên gọi là Lâm Bá Kiệt khi làm Phó chủ nhiệm cơ quan Biện sự xứ tại Quế Lâm (Chủ nhiệm là Hồ Học Lãm).|Phạm Văn Đồng giữ chức vụ gì trong bộ máy Nhà nước Cộng hòa Xã hội chủ nghĩa Việt Nam?|Phạm Văn Đồng (1 tháng 3 năm 1906 – 29 tháng 4 năm 2000) là Thủ tướng đầu tiên của nước Cộng hòa Xã hội chủ nghĩa Việt Nam từ năm 1976 (từ năm 1981 gọi là Chủ tịch Hội đồng Bộ trưởng) cho đến khi nghỉ hưu năm 1987.|0|214
Phạm Văn Đồng|Phạm Văn Đồng (1 tháng 3 năm 1906 – 29 tháng 4 năm 2000) là Thủ tướng đầu tiên của nước Cộng hòa Xã hội chủ nghĩa Việt Nam từ năm 1976 (từ năm 1981 gọi là Chủ tịch Hội đồng Bộ trưởng) cho đến khi nghỉ hưu năm 1987. Trước đó ông từng giữ chức vụ Thủ tướng Chính phủ Việt Nam Dân chủ Cộng hòa từ năm 1955 đến năm 1976. Ông là vị Thủ tướng Việt Nam tại vị lâu nhất (1955–1987). Ông là học trò, cộng sự của Chủ tịch Hồ Chí Minh. Ông có tên gọi thân mật là Tô, đây từng là bí danh của ông. Ông còn có tên gọi là Lâm Bá Kiệt khi làm Phó chủ nhiệm cơ quan Biện sự xứ tại Quế Lâm (Chủ nhiệm là Hồ Học Lãm).|Giai đoạn năm 1955-1976, Phạm Văn Đồng nắm giữ chức vụ gì?|Trước đó ông từng giữ chức vụ Thủ tướng Chính phủ Việt Nam Dân chủ Cộng hòa từ năm 1955 đến năm 1976.|215|316
Thực vật có hoa|"Thuật ngữ để chỉ thực vật hạt kín là ""Angiosperm"", có nguồn gốc từ tiếng Hy Lạp cổ đại αγγειον (chỗ chứa) và σπερμα (hạt), được Paul Hermann tạo thành dưới dạng thuật ngữ Angiospermae vào năm 1690, như là tên gọi của một trong các ngành chính trong giới thực vật của ông, nó bao gồm thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ (quả nang), ngược lại với Gymnospermae của ông, hay thực vật có hoa với các quả thuộc loại quả bế hay quả nứt - toàn bộ quả hay mỗi miếng riêng rẽ của nó được coi như là hạt và trần trụi. Thuật ngữ này và từ trái nghĩa của nó đã được Carolus Linnaeus duy trì với cùng ngữ cảnh, nhưng với các ứng dụng hạn hẹp hơn, như trong tên gọi của các bộ trong lớp Didynamia của ông. Việc sử dụng nó trong bất kỳ cách tiếp cận nào đối với lĩnh vực hiện đại của nó chỉ trở thành có thể sau khi Robert Brown thiết lập vào năm 1827 sự tồn tại của các noãn trần thực sự trong Cycadeae (Tuế) và Coniferae (Thông), cho phép gọi chúng một cách chính xác là thực vật hạt trần. Từ thời điểm này trở đi, cũng giống như Gymnosperm được dùng để chỉ thực vật hạt trần thì thuật ngữ Angiosperm đã được nhiều nhà thực vật học dùng với ý nghĩa đối lập, nhưng với giới hạn thay đổi, như là tên nhóm cho các thực vật hai lá mầm khác."|Thuật ngữ thực vật hạt kín Angioosperm được định nghĩa đầu tiên trên ngôn ngữ nào?|"Thuật ngữ để chỉ thực vật hạt kín là ""Angiosperm"", có nguồn gốc từ tiếng Hy Lạp cổ đại αγγειον (chỗ chứa) và σπερμα (hạt), được Paul Hermann tạo thành dưới dạng thuật ngữ Angiospermae vào năm 1690, như là tên gọi của một trong các ngành chính trong giới thực vật của ông, nó bao gồm thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ (quả nang), ngược lại với Gymnospermae của ông, hay thực vật có hoa với các quả thuộc loại quả bế hay quả nứt - toàn bộ quả hay mỗi miếng riêng rẽ của nó được coi như là hạt và trần trụi."|0|534
Thực vật có hoa|"Thuật ngữ để chỉ thực vật hạt kín là ""Angiosperm"", có nguồn gốc từ tiếng Hy Lạp cổ đại αγγειον (chỗ chứa) và σπερμα (hạt), được Paul Hermann tạo thành dưới dạng thuật ngữ Angiospermae vào năm 1690, như là tên gọi của một trong các ngành chính trong giới thực vật của ông, nó bao gồm thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ (quả nang), ngược lại với Gymnospermae của ông, hay thực vật có hoa với các quả thuộc loại quả bế hay quả nứt - toàn bộ quả hay mỗi miếng riêng rẽ của nó được coi như là hạt và trần trụi. Thuật ngữ này và từ trái nghĩa của nó đã được Carolus Linnaeus duy trì với cùng ngữ cảnh, nhưng với các ứng dụng hạn hẹp hơn, như trong tên gọi của các bộ trong lớp Didynamia của ông. Việc sử dụng nó trong bất kỳ cách tiếp cận nào đối với lĩnh vực hiện đại của nó chỉ trở thành có thể sau khi Robert Brown thiết lập vào năm 1827 sự tồn tại của các noãn trần thực sự trong Cycadeae (Tuế) và Coniferae (Thông), cho phép gọi chúng một cách chính xác là thực vật hạt trần. Từ thời điểm này trở đi, cũng giống như Gymnosperm được dùng để chỉ thực vật hạt trần thì thuật ngữ Angiosperm đã được nhiều nhà thực vật học dùng với ý nghĩa đối lập, nhưng với giới hạn thay đổi, như là tên nhóm cho các thực vật hai lá mầm khác."|Angiospermae được nhà bác nào định nghĩa vào năm 1690?|"Thuật ngữ để chỉ thực vật hạt kín là ""Angiosperm"", có nguồn gốc từ tiếng Hy Lạp cổ đại αγγειον (chỗ chứa) và σπερμα (hạt), được Paul Hermann tạo thành dưới dạng thuật ngữ Angiospermae vào năm 1690, như là tên gọi của một trong các ngành chính trong giới thực vật của ông, nó bao gồm thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ (quả nang), ngược lại với Gymnospermae của ông, hay thực vật có hoa với các quả thuộc loại quả bế hay quả nứt - toàn bộ quả hay mỗi miếng riêng rẽ của nó được coi như là hạt và trần trụi."|0|534
Thực vật có hoa|"Thuật ngữ để chỉ thực vật hạt kín là ""Angiosperm"", có nguồn gốc từ tiếng Hy Lạp cổ đại αγγειον (chỗ chứa) và σπερμα (hạt), được Paul Hermann tạo thành dưới dạng thuật ngữ Angiospermae vào năm 1690, như là tên gọi của một trong các ngành chính trong giới thực vật của ông, nó bao gồm thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ (quả nang), ngược lại với Gymnospermae của ông, hay thực vật có hoa với các quả thuộc loại quả bế hay quả nứt - toàn bộ quả hay mỗi miếng riêng rẽ của nó được coi như là hạt và trần trụi. Thuật ngữ này và từ trái nghĩa của nó đã được Carolus Linnaeus duy trì với cùng ngữ cảnh, nhưng với các ứng dụng hạn hẹp hơn, như trong tên gọi của các bộ trong lớp Didynamia của ông. Việc sử dụng nó trong bất kỳ cách tiếp cận nào đối với lĩnh vực hiện đại của nó chỉ trở thành có thể sau khi Robert Brown thiết lập vào năm 1827 sự tồn tại của các noãn trần thực sự trong Cycadeae (Tuế) và Coniferae (Thông), cho phép gọi chúng một cách chính xác là thực vật hạt trần. Từ thời điểm này trở đi, cũng giống như Gymnosperm được dùng để chỉ thực vật hạt trần thì thuật ngữ Angiosperm đã được nhiều nhà thực vật học dùng với ý nghĩa đối lập, nhưng với giới hạn thay đổi, như là tên nhóm cho các thực vật hai lá mầm khác."|Angiospermae được nhà bác Paul Hermann định nghĩa vào năm 1690 bao gồm những loai thực nào?|"Thuật ngữ để chỉ thực vật hạt kín là ""Angiosperm"", có nguồn gốc từ tiếng Hy Lạp cổ đại αγγειον (chỗ chứa) và σπερμα (hạt), được Paul Hermann tạo thành dưới dạng thuật ngữ Angiospermae vào năm 1690, như là tên gọi của một trong các ngành chính trong giới thực vật của ông, nó bao gồm thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ (quả nang), ngược lại với Gymnospermae của ông, hay thực vật có hoa với các quả thuộc loại quả bế hay quả nứt - toàn bộ quả hay mỗi miếng riêng rẽ của nó được coi như là hạt và trần trụi."|0|534
Thực vật có hoa|"Thuật ngữ để chỉ thực vật hạt kín là ""Angiosperm"", có nguồn gốc từ tiếng Hy Lạp cổ đại αγγειον (chỗ chứa) và σπερμα (hạt), được Paul Hermann tạo thành dưới dạng thuật ngữ Angiospermae vào năm 1690, như là tên gọi của một trong các ngành chính trong giới thực vật của ông, nó bao gồm thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ (quả nang), ngược lại với Gymnospermae của ông, hay thực vật có hoa với các quả thuộc loại quả bế hay quả nứt - toàn bộ quả hay mỗi miếng riêng rẽ của nó được coi như là hạt và trần trụi. Thuật ngữ này và từ trái nghĩa của nó đã được Carolus Linnaeus duy trì với cùng ngữ cảnh, nhưng với các ứng dụng hạn hẹp hơn, như trong tên gọi của các bộ trong lớp Didynamia của ông. Việc sử dụng nó trong bất kỳ cách tiếp cận nào đối với lĩnh vực hiện đại của nó chỉ trở thành có thể sau khi Robert Brown thiết lập vào năm 1827 sự tồn tại của các noãn trần thực sự trong Cycadeae (Tuế) và Coniferae (Thông), cho phép gọi chúng một cách chính xác là thực vật hạt trần. Từ thời điểm này trở đi, cũng giống như Gymnosperm được dùng để chỉ thực vật hạt trần thì thuật ngữ Angiosperm đã được nhiều nhà thực vật học dùng với ý nghĩa đối lập, nhưng với giới hạn thay đổi, như là tên nhóm cho các thực vật hai lá mầm khác."|Cây Tuế và cây Thông thuộc loại thực vật nào?|Việc sử dụng nó trong bất kỳ cách tiếp cận nào đối với lĩnh vực hiện đại của nó chỉ trở thành có thể sau khi Robert Brown thiết lập vào năm 1827 sự tồn tại của các noãn trần thực sự trong Cycadeae (Tuế) và Coniferae (Thông), cho phép gọi chúng một cách chính xác là thực vật hạt trần.|719|1003
Thực vật có hoa|"Thuật ngữ để chỉ thực vật hạt kín là ""Angiosperm"", có nguồn gốc từ tiếng Hy Lạp cổ đại αγγειον (chỗ chứa) và σπερμα (hạt), được Paul Hermann tạo thành dưới dạng thuật ngữ Angiospermae vào năm 1690, như là tên gọi của một trong các ngành chính trong giới thực vật của ông, nó bao gồm thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ (quả nang), ngược lại với Gymnospermae của ông, hay thực vật có hoa với các quả thuộc loại quả bế hay quả nứt - toàn bộ quả hay mỗi miếng riêng rẽ của nó được coi như là hạt và trần trụi. Thuật ngữ này và từ trái nghĩa của nó đã được Carolus Linnaeus duy trì với cùng ngữ cảnh, nhưng với các ứng dụng hạn hẹp hơn, như trong tên gọi của các bộ trong lớp Didynamia của ông. Việc sử dụng nó trong bất kỳ cách tiếp cận nào đối với lĩnh vực hiện đại của nó chỉ trở thành có thể sau khi Robert Brown thiết lập vào năm 1827 sự tồn tại của các noãn trần thực sự trong Cycadeae (Tuế) và Coniferae (Thông), cho phép gọi chúng một cách chính xác là thực vật hạt trần. Từ thời điểm này trở đi, cũng giống như Gymnosperm được dùng để chỉ thực vật hạt trần thì thuật ngữ Angiosperm đã được nhiều nhà thực vật học dùng với ý nghĩa đối lập, nhưng với giới hạn thay đổi, như là tên nhóm cho các thực vật hai lá mầm khác."|Robert Brown phát hiện sự tồn tại của noãn trần trong cây Tuế và cây Thông vào thời gian nào?|Việc sử dụng nó trong bất kỳ cách tiếp cận nào đối với lĩnh vực hiện đại của nó chỉ trở thành có thể sau khi Robert Brown thiết lập vào năm 1827 sự tồn tại của các noãn trần thực sự trong Cycadeae (Tuế) và Coniferae (Thông), cho phép gọi chúng một cách chính xác là thực vật hạt trần.|719|1003
Phần mềm giáo dục|Ngay từ đầu những năm 1940, phần cứng và phần mềm đã được sử dụng trong giáo dục và đào tạo, khi đó các nhà nghiên cứu Mỹ phát triển các mô hình tập bay sử dụng máy tính analog để tạo ra các mô phỏng cài đặt trong thiết bị dữ liệu. Một hệ thống thuộc loại này là the type19 synthetic radar trainer được xây dựng vào năm 1943. Từ những cố gắng ban đầu này, trong giai đoạn từ chiến tranh thế giới II đến giữa 1970, phần mềm giáo dục được cài đặt trực tiếp vào phần cứng, thường là các máy tính lớn. Người đi tiên phong trong giai đoạn này là PLATO (1960) được phát triển ở đại học Illinois và TICCIT (1969). Các thiết bị này có giá trên 10.000, chúng vượt ra ngoài khả năng tài chính của hầu hết các cơ quan. Một số ngôn ngữ lập trình trong giai đoạn này, đặc biệt BASIC (1963) và LOGO (1967), có thể dạy cho sinh viên và những người mới làm quen với máy tính. Plato IV, được phát hành vào 1972, hỗ trợ rất nhiều tính năng mà sau này trở thành chuẩn cho phần mềm giáo dục chạy ở máy tính trong gia đình. Những tính năng này gồm có các ảnh đồ họa, tạo ra âm thanh và hỗ trợ các thiết bị vào không qua bàn phím (như là chạm vào màn hình).|Phần cứng và phần mềm được sử dụng trong giáo dục và đào tạo bắt đầu từ thời gian nào?|Ngay từ đầu những năm 1940, phần cứng và phần mềm đã được sử dụng trong giáo dục và đào tạo, khi đó các nhà nghiên cứu Mỹ phát triển các mô hình tập bay sử dụng máy tính analog để tạo ra các mô phỏng cài đặt trong thiết bị dữ liệu.|0|231
Phần mềm giáo dục|Ngay từ đầu những năm 1940, phần cứng và phần mềm đã được sử dụng trong giáo dục và đào tạo, khi đó các nhà nghiên cứu Mỹ phát triển các mô hình tập bay sử dụng máy tính analog để tạo ra các mô phỏng cài đặt trong thiết bị dữ liệu. Một hệ thống thuộc loại này là the type19 synthetic radar trainer được xây dựng vào năm 1943. Từ những cố gắng ban đầu này, trong giai đoạn từ chiến tranh thế giới II đến giữa 1970, phần mềm giáo dục được cài đặt trực tiếp vào phần cứng, thường là các máy tính lớn. Người đi tiên phong trong giai đoạn này là PLATO (1960) được phát triển ở đại học Illinois và TICCIT (1969). Các thiết bị này có giá trên 10.000, chúng vượt ra ngoài khả năng tài chính của hầu hết các cơ quan. Một số ngôn ngữ lập trình trong giai đoạn này, đặc biệt BASIC (1963) và LOGO (1967), có thể dạy cho sinh viên và những người mới làm quen với máy tính. Plato IV, được phát hành vào 1972, hỗ trợ rất nhiều tính năng mà sau này trở thành chuẩn cho phần mềm giáo dục chạy ở máy tính trong gia đình. Những tính năng này gồm có các ảnh đồ họa, tạo ra âm thanh và hỗ trợ các thiết bị vào không qua bàn phím (như là chạm vào màn hình).|Đầu những năm 1940, các nhà nghiên cứ Mỹ đã có những bước đột phá gì?|Ngay từ đầu những năm 1940, phần cứng và phần mềm đã được sử dụng trong giáo dục và đào tạo, khi đó các nhà nghiên cứu Mỹ phát triển các mô hình tập bay sử dụng máy tính analog để tạo ra các mô phỏng cài đặt trong thiết bị dữ liệu.|0|231
